ds,yhat_almoco,yhat_janta
2023-05-22,366.6172021186104,288.44073724000964
2023-05-23,413.47447098062736,327.21047116422216
2023-05-24,409.1799433587939,303.8245241270951
2023-05-25,390.66940068490806,298.26982261029815
2023-05-26,338.1335756014246,218.36835431615225
2023-05-29,358.1705419969205,276.7669646739675
2023-05-30,406.08758680973034,316.39350053374807
2023-05-31,403.1543942050383,294.19487856799367
2023-06-01,386.26453612177926,290.11920318717057
2023-06-02,335.55944597787806,211.94128589345195
2023-06-05,361.7737319785936,276.4079180933874
2023-06-06,411.7683639374353,318.1404492072223
2023-06-07,410.8128642459533,297.980151816232
2023-06-12,375.66997509242583,287.1812965476096
2023-06-13,425.8170710798647,329.3101032460685
2023-06-14,424.5595829537392,309.12538734856935
2023-06-15,408.70532135074143,306.49141761945623
2023-06-16,358.3224505458475,229.11266025803783
2023-06-19,380.71408164673124,291.6571425506659
2023-06-20,427.75208204290755,331.24630834587106
2023-06-21,423.00070722340354,308.20247130107373
2023-06-22,403.3175717496537,302.44319785438256
2023-06-23,348.82893829890253,221.73329966910515
2023-06-26,357.9246295580144,273.7288012566671
2023-06-27,400.45699252956126,309.8573754850326
2023-06-28,391.29711140545623,283.50275603995027
2023-06-29,367.3840676499162,274.6531296538711
2023-06-30,308.92442058688266,191.1399805070639
2023-07-03,308.41091890009915,237.02604210736808
2023-07-04,348.7304450372474,272.0391951074382
2023-07-05,337.945134555105,245.08424867915232
2023-07-07,254.24074200829898,153.1262415820655
2023-07-10,256.8248161680015,203.5803103741844
2023-07-11,299.5322616351568,241.0861095351292
2023-07-12,291.77612241161177,217.0451865855107
2023-07-13,270.49796611419214,211.41297793190023
2023-07-14,215.8852563596289,131.97096994352154
2023-07-17,233.67774019291159,194.46084100845238
2023-07-18,282.08548548631467,236.16263642651808
2023-07-19,280.20362542293594,216.29306969198774
2023-07-20,264.88018057609185,214.73933141975772
2023-07-21,216.2093668040715,139.21778164236147
2023-08-09,376.8097070013336,281.29623098515214
2023-08-10,361.56474732661263,278.6273326521743
2023-08-11,311.64086438702304,201.2913332665188
2023-08-14,335.44147464924686,265.2682505016928
2023-08-15,383.28425393149985,306.024835532079
2023-08-16,379.66486268407505,284.6015425712259
2023-08-17,361.5296116871956,280.9652680115769
2023-08-18,309.0851466525292,202.91765230115686
2023-08-21,327.921743817082,266.2951572201472
2023-08-22,375.042509373612,307.32903273918856
2023-08-23,371.1696059719279,286.38803875104395
2023-08-24,353.2338612284959,283.4104491330762
2023-08-25,301.41085540921847,206.16466505008768
2023-08-28,324.19370490434653,272.42424458189043
2023-08-29,373.13019905458634,314.44070647739727
2023-08-31,355.28826120593766,292.2715698293167
2023-09-01,305.4672348326061,215.71512844634285
2023-09-04,333.4571183061939,282.91021881091785
2023-09-05,383.6426736944407,324.780991384612
2023-09-06,382.6355423452922,304.364558313035
2023-09-08,317.5547581553728,224.08270887131317
2023-09-11,343.3507169956085,287.1181883376285
2023-09-12,391.96980778149594,327.2062586258637
2023-09-13,389.0218797622253,304.86182391982163
2023-09-14,371.3641453950382,300.0174151357705
2023-09-15,319.1241793952423,220.44920167948803
2023-09-18,336.3007795186771,277.28596668243404
2023-09-19,381.9736274760285,315.4985772716633
2023-09-20,376.1777531353742,291.4520399928589
2023-09-21,355.8512194676733,285.1218376970668
2023-09-22,301.1977831363744,204.32290511786178
2023-09-25,313.3550256149451,259.30098519111436
2023-09-26,358.27608365080044,297.57182870706515
2023-09-27,352.2505958814223,273.9361743123276
2023-09-28,332.2333292676172,268.3650828660308
2023-09-29,278.43003540556566,188.66036257202353
2023-10-02,296.1772762446875,248.67341939801253
2023-10-03,343.83327382682035,289.08146831856845
2023-10-04,340.8742397463486,267.73283299822856
2023-10-05,324.1751733173568,264.5426668156733
2023-10-06,273.85319716579085,187.25314526190147
2023-10-09,302.05289109360615,254.09515216966315
2023-10-10,352.86267237158137,296.4352609674939
2023-10-11,352.73033923713405,276.7504035274683
2023-10-16,320.4191066664886,265.90479858898317
2023-10-17,370.64489393503555,307.5193914708367
2023-10-18,369.2551317424292,286.6699165926154
2023-10-19,353.05359530544763,283.23891344671796
2023-10-20,302.1145160986785,204.9542708653139
2023-10-23,321.8062291422347,264.43323521765615
2023-10-24,367.7289890515001,303.0069987676309
2023-10-25,361.84489203523424,279.02050735386496
2023-10-26,341.081522094084,272.43657884969497
2023-10-27,285.6383562934087,191.06648269251048
2023-10-30,293.4505249885017,242.53075756217115
2023-10-31,336.3661788461747,279.11166697700287
2023-11-01,328.1332624188898,253.58944392015908
2023-11-06,260.29725267568125,217.85994319910228
2023-11-07,305.9791842749248,256.4060443062031
2023-11-08,301.3506519288662,233.42302668278836
2023-11-09,283.35671925254184,228.88577433102566
2023-11-10,232.17720912947533,150.59041036388686
2023-11-13,260.89911613876075,216.87749312095988
2023-11-14,313.0059163174412,259.9392399449057
2023-11-16,302.86496043493577,241.2346146676128
2023-11-17,257.3818197803674,166.9897968273832
2023-11-20,298.92889545243986,242.52532604426142
2023-11-21,353.3735082803869,287.32773650960985
2023-11-22,356.2629661243323,269.7392762163375
2023-11-23,344.2698851965837,269.537304722814
2023-11-24,297.328677276496,194.33680542471956
2023-11-27,326.28705714264373,261.0046393862896
2023-11-28,373.9041139596949,300.8859882526603
2023-11-29,368.78805841031,277.4710874069476
2023-11-30,347.7431464215285,270.6193361374505
2023-12-01,290.8655528050492,188.0504646281022
2023-12-04,286.711637096054,229.65363778819975
2023-12-05,322.95900286926366,260.7288821701199
2023-12-06,306.72513319649136,228.58160635233764
2023-12-07,275.0739639219058,213.2623503000439
2023-12-08,208.36060633201174,122.68412805424335
2023-12-11,181.73267909038975,144.88395898203447
2023-12-12,213.54708653567207,171.6092754750756
2023-12-13,194.70160951646028,136.4201416243747
2023-12-14,162.38671894215355,119.4851140299481
2023-12-15,97.04472436828206,28.809511574616465
2023-12-18,87.01311502614871,60.310742189621294
2024-02-26,231.81889182005884,183.57721536037133
2024-02-27,293.219180522759,236.8769980335833
2024-02-28,302.5775958224878,227.09354101015794
2024-02-29,296.70645442135515,234.0773321425081
2024-03-01,255.69986238765202,165.54160220747517
2024-03-04,303.10393966948845,250.34846139514917
2024-03-05,357.68177930570255,296.1429024049687
2024-03-06,360.2129407339152,278.8290079806552
2024-03-07,347.644886698133,278.41431135977433
2024-03-08,300.1919677025577,202.755853622806
2024-03-11,330.70321144800414,269.03460147046025
2024-03-12,380.68590387456845,309.8974319828616
2024-03-13,379.2019920236031,288.37023877766313
2024-03-14,363.20816768263387,284.48570159980704
2024-03-15,312.9106643198518,206.1048033363831
2024-03-20,385.1362003273587,288.13993877846974
2024-03-21,368.8731305261622,285.09807546722004
2024-03-22,318.5079891334418,207.8803435419724
2024-03-26,393.12619940962986,316.9560982163168
2024-03-27,391.0505556679173,297.21343821305425
2024-04-01,347.0254729898,286.3908782242528
2024-04-02,395.0401947684526,328.1448783232488
2024-04-03,391.6689741679329,307.50814580300545
2024-04-04,373.79216347002284,304.3772451084686
2024-04-05,321.5553619830221,226.49455524881236
2024-04-08,340.21164494700093,287.9312271856664
2024-04-09,386.8857248498425,327.44910282657827
2024-04-10,382.3407394132991,304.5674014394544
2024-04-11,363.503969213428,299.25298554860433
2024-04-12,310.5630858262514,219.31693138963996
2024-04-15,328.96198578349413,275.9938312849803
2024-04-16,376.23403228231314,314.5629845792839
2024-04-17,372.63861961794424,291.1140430793376
2024-04-18,355.0943429825417,285.63522315273514
2024-04-19,303.77056331931664,205.9471958499527
2024-07-15,249.28958361240666,199.90670462720482
2024-07-16,296.6101479335776,240.88198872447123
2024-07-17,293.6567942045052,220.3256568055088
2024-07-18,277.29628093479056,218.13526333480002
2024-07-19,227.6391041187403,142.03631857419185
2024-07-22,259.7541060009095,213.4545626711081
2024-07-23,312.50723996522436,257.61998839660237
2024-07-24,314.6407381892439,239.8997696877203
2024-07-25,302.944857614322,240.1564111483229
2024-07-26,257.4617667942472,166.08891578052675
2024-07-29,298.621807337134,240.9771572105635
2024-07-30,353.10971768888425,285.42578877722906
2024-07-31,356.3081460942509,267.5743714367905
2024-08-01,345.0087856694528,267.3108112027104
2024-08-02,299.2680994785865,192.3665472929984
2024-08-05,336.05716058010427,262.8956486853371
2024-08-06,388.05315977154726,305.47315448093616
2024-08-07,388.34838706607775,285.6273198142984
2024-08-08,373.80966302584835,283.29897192213315
2024-08-09,324.5739132157709,206.27177035315938
2024-08-12,350.1897853589001,270.93094691891787
2024-08-13,398.51463037522234,311.8219743651157
2024-08-14,395.3001819550918,290.48416651019716
2024-08-15,377.4864606742619,286.88496657584324
2024-08-16,325.2760848942545,208.82787514868664
2024-08-19,344.28525041215534,271.9343291847183
2024-08-20,391.2969138446873,312.81443997863664
2024-08-21,387.2420559315496,291.69881622762307
2024-08-22,369.05884826936483,288.53314790849976
2024-08-23,316.9356032919585,211.0935953298622
2024-08-26,338.62777890276624,276.81624314136616
2024-08-27,387.18326059429023,318.6935849762173
2024-08-28,384.8967963676064,298.5687265362036
2024-08-29,368.63702768802125,296.3455576234593
2024-08-30,318.5190089107164,219.75970761683985
